DATE,WDDNS
1983-08-15,239.9
1983-08-22,235.0
1983-08-29,231.2
1983-09-05,238.1
1983-09-12,242.2
1983-09-19,239.3
1983-09-26,231.6
1983-10-03,238.7
1983-10-10,243.2
1983-10-17,243.9
1983-10-24,236.6
1983-10-31,235.4
1983-11-07,241.0
1983-11-14,243.9
1983-11-21,240.3
1983-11-28,238.2
1983-12-05,244.7
1983-12-12,246.7
1983-12-19,247.9
1983-12-26,243.5
1984-01-02,255.9
1984-01-09,259.1
1984-01-16,249.1
1984-01-23,238.3
1984-01-30,231.1
1984-02-06,237.1
1984-02-13,234.7
1984-02-20,232.5
1984-02-27,229.4
1984-03-05,235.8
1984-03-12,236.4
1984-03-19,235.5
1984-03-26,230.6
1984-04-02,238.5
1984-04-09,245.9
1984-04-16,248.2
1984-04-23,242.9
1984-04-30,236.8
1984-05-07,239.4
1984-05-14,239.9
1984-05-21,237.9
1984-05-28,229.7
1984-06-04,244.2
1984-06-11,246.1
1984-06-18,244.9
1984-06-25,236.7
1984-07-02,244.5
1984-07-09,248.4
1984-07-16,248.1
1984-07-23,239.4
1984-07-30,235.3
1984-08-06,242.1
1984-08-13,242.3
1984-08-20,240.3
1984-08-27,233.2
1984-09-03,238.4
1984-09-10,247.0
1984-09-17,245.0
1984-09-24,235.5
1984-10-01,239.5
1984-10-08,242.9
1984-10-15,246.1
1984-10-22,238.2
1984-10-29,235.5
1984-11-05,244.3
1984-11-12,244.0
1984-11-19,247.3
1984-11-26,241.2
1984-12-03,244.6
1984-12-10,248.5
1984-12-17,251.1
1984-12-24,252.7
1984-12-31,261.8
1985-01-07,265.2
1985-01-14,254.2
1985-01-21,247.3
1985-01-28,237.5
1985-02-04,242.8
1985-02-11,240.6
1985-02-18,240.6
1985-02-25,236.5
1985-03-04,241.6
1985-03-11,243.0
1985-03-18,241.7
1985-03-25,237.3
1985-04-01,244.0
1985-04-08,251.4
1985-04-15,254.0
1985-04-22,251.4
1985-04-29,243.1
1985-05-06,247.3
1985-05-13,246.8
1985-05-20,248.3
1985-05-27,241.2
1985-06-03,251.6
1985-06-10,257.4
1985-06-17,256.6
1985-06-24,249.8
1985-07-01,256.6
1985-07-08,262.7
1985-07-15,260.3
1985-07-22,254.2
1985-07-29,249.3
1985-08-05,258.1
